year,date,sampledate,division,lakeid,chla,pH,WT,DO,SDD
2015,1,2015/1/14,N,SP,0.766666667,7.325,3.194736842,8.252631579,6.3
2015,1,2015/1/15,N,TR,0.89,7.392,1.942424242,10.33636364,4.3
2015,1,2015/1/16,N,CR,1.444444444,6.115,2.957894737,9.563157895,4.8
2015,1,2015/1/19,N,AL,0.366666667,7.1425,2.45,7.175,2.5
2015,1,2015/1/20,N,TB,3.766666667,5.0425,3.2125,0.275,0.7
2015,1,2015/1/21,N,BM,0.333333333,6.9575,2.389473684,8.121052632,7.7
2015,1,2015/1/23,N,CB,9.175,5.213333333,2.333333333,1.833333333,0.8
2015,2,2015/2/24,N,AL,3.166666667,7.12,2.6,5.675,2.3
2015,2,2015/2/24,N,SP,0.111111111,7.145,3.142105263,7.394736842,6.4
2015,2,2015/2/27,N,CR,0.511111111,6.1075,3.165,8.075,4.6
2015,3,2015/3/2,N,TR,0.41,7.33,2.096969697,8.921212121,5.6
2015,3,2015/3/3,N,BM,0.377777778,6.9025,2.636842105,7.068421053,6.1
2015,3,2015/3/6,N,CB,10.5,5.143333333,2.066666667,0.666666667,0.8
2015,3,2015/3/6,N,TB,1.133333333,4.93,3.025,0.2,1.1
2015,3,2015/3/23,N,AL,6.6,7.075,4.15,4.775,4
2015,3,2015/3/23,N,CB,45.7,5.23,3.433333333,1.1,0.9
2015,3,2015/3/24,N,SP,5.144444444,7.06,3.747368421,7.063157895,5.8
2015,3,2015/3/24,N,TB,6.45,4.875,3.45,0.3125,1
2015,3,2015/3/26,N,BM,2.044444444,6.865,3.352631579,6.542105263,5.4
2015,3,2015/3/26,N,CR,3.766666667,6.3175,3.68,8.56,4.2
2015,3,2015/3/27,N,TR,2.31,7.31,2.633333333,9.593939394,5.8
2015,4,2015/4/20,N,CB,33.925,5.143333333,8.233333333,3.9,0.9
2015,4,2015/4/20,N,CR,11.97777778,6.2125,5.695,10.305,3.1
2015,4,2015/4/21,N,AL,2.766666667,7.5075,7.675,9.7375,1.6
2015,4,2015/4/21,N,TB,9.316666667,5.045,5.1125,2.5,0.8
2015,4,2015/4/23,N,BM,7.222222222,7.355,5.568421053,11.18947368,3.2
2015,4,2015/4/23,N,SP,1.177777778,7.3125,5.421052632,9.194736842,3.1
2015,4,2015/4/24,N,TR,1.76,7.482,4.287878788,10.5969697,3.2
2015,5,2015/5/18,N,SP,4.9,7.591666667,8.857894737,9.5,7.8
2015,5,2015/5/19,N,AL,1.883333333,7.558,12.25,7.7,3.6
2015,5,2015/5/19,N,BM,1.577777778,7.472857143,10.15263158,10.05263158,8.9
2015,5,2015/5/20,N,CB,89.5,4.916666667,12.1,5.433333333,0.5
2015,5,2015/5/20,N,CR,6.933333333,6.593333333,8.26,9.73,3.4
2015,5,2015/5/21,N,TB,30.98333333,4.948,6.725,2.1875,0.5
2015,5,2015/5/21,N,TR,3.01,7.806666667,7.933333333,10.34545455,4.6
2015,6,2015/6/15,N,BM,1.555555556,7.53,15.27368421,9.463157895,8.1
2015,6,2015/6/16,N,CB,99.475,4.89,17.86666667,4.6,1.5
2015,6,2015/6/16,N,CR,5.1,6.52,11.1,9.05,7.6
2015,6,2015/6/17,N,SP,3.488888889,7.57,11.77368421,8.184210526,5.4
2015,6,2015/6/17,N,TB,34.18333333,4.822,8.95,1.1375,0.8
2015,6,2015/6/18,N,AL,7.116666667,7.785,17.175,6.0125,2.5
2015,6,2015/6/18,N,TR,2.42,7.865714286,10.16060606,9.387878788,4.8
2015,7,2015/7/13,N,AL,60.08333333,7.746,20.3625,5.4625,3.3
2015,7,2015/7/13,N,CR,3.044444444,6.16,14.1,9.005,8.5
2015,7,2015/7/14,N,BM,4.422222222,7.13,16.30526316,7.442105263,6.6
